semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,log_population,district,sector,supervision,legal_status,education_stage,nurture_quintile,avg_class_size,total_budget_per_student,teaching_budget_per_student,tuition_per_student,perimeter_per_student,projects_per_student,purchases_per_student,transport_per_student,private_hours_per_student,special_ed_share,log_school_size,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,students_regular,students_special,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private
460253,2015,"מח""ט ע""ש אבן רושד",טמרה,טמרה,exact,2.0,-1.004,32048.0,,טמרה,10.375021260613996,צפון,ערבי,ממלכתי,מוכר,עליונה בלבד,,18.125,29341.227704267378,0.0,28754.727448275862,6.252068965517241,160.46137931034482,422.9109456466725,-3.1241379310344826,0.0,0.0,4.983606621708336,79.78,79.65,0.0,0.0,27.0,31.0,145.0,0.0,4254478.01711877,0.0,4169435.48,906.55,23266.9,61322.08711876751,-453.0,0.0
460253,2016,"מח""ט ע""ש אבן רושד",טמרה,טמרה,exact,2.0,-1.004,32048.0,,טמרה,10.375021260613996,צפון,ערבי,ממלכתי,מוכר,עליונה בלבד,,18.125,29341.227704267378,0.0,28754.727448275862,6.252068965517241,160.46137931034482,422.9109456466725,-3.1241379310344826,0.0,0.0,4.983606621708336,67.12,74.6,0.0,0.0,17.0,20.0,145.0,0.0,4254478.01711877,0.0,4169435.48,906.55,23266.9,61322.08711876751,-453.0,0.0
460261,2014,אולפנת גילה בקצרין,קצרין,קצרין,exact,5.0,-0.108,6913.0,,קצרין,8.84130362048157,צפון,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,3.0,22.75,17325.65381323639,0.0,17041.903076923078,10.893846153846154,199.08824175824174,81.85656048913492,-8.087912087912088,0.0,0.0,4.5217885770490405,91.33,,0.0,1.0,12.0,7.0,91.0,0.0,1576634.4970045113,0.0,1550813.18,991.34,18117.03,7448.947004511278,-736.0,0.0
460261,2015,אולפנת גילה בקצרין,קצרין,קצרין,exact,5.0,-0.108,6913.0,,קצרין,8.84130362048157,צפון,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,3.0,22.75,17325.65381323639,0.0,17041.903076923078,10.893846153846154,199.08824175824174,81.85656048913492,-8.087912087912088,0.0,0.0,4.5217885770490405,81.71,81.4,0.0,0.25,21.0,20.0,91.0,0.0,1576634.4970045113,0.0,1550813.18,991.34,18117.03,7448.947004511278,-736.0,0.0
460337,2013,משיבים,גני תקווה,גני תקווה,exact,8.0,1.358,16042.0,,גני תקווה,9.683027896351076,,,,,,,,,,,,,,,,,,,,,0.0,,6.0,,,,,,,,,,
460410,2013,בני חיל שומרון,קדומים,קדומים,exact,5.0,0.028,4338.0,,קדומים,8.37539918579835,מרכז,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,2.0,12.375,59571.54703752415,0.0,57930.85484848479,480.5922222222222,317.3057575757576,854.0960274232087,-11.301818181818183,0.0,0.05714285714285714,4.663439094112067,75.52,90.25,0.0,0.4444444444444444,25.0,27.0,99.0,6.0,5897583.156714891,0.0,5735154.629999994,47578.63,31413.27,84555.50671489767,-1118.88,0.0
460410,2014,בני חיל שומרון,קדומים,קדומים,exact,5.0,0.028,4338.0,,קדומים,8.37539918579835,מרכז,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,2.0,12.375,59571.54703752415,0.0,57930.85484848479,480.5922222222222,317.3057575757576,854.0960274232087,-11.301818181818183,0.0,0.05714285714285714,4.663439094112067,69.05,89.73,0.0,0.44,22.0,25.0,99.0,6.0,5897583.156714891,0.0,5735154.629999994,47578.63,31413.27,84555.50671489767,-1118.88,0.0
460410,2015,בני חיל שומרון,קדומים,קדומים,exact,5.0,0.028,4338.0,,קדומים,8.37539918579835,מרכז,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,2.0,12.375,59571.54703752415,0.0,57930.85484848479,480.5922222222222,317.3057575757576,854.0960274232087,-11.301818181818183,0.0,0.05714285714285714,4.663439094112067,65.25,76.79,0.0,0.2631578947368421,25.0,19.0,99.0,6.0,5897583.156714891,0.0,5735154.629999994,47578.63,31413.27,84555.50671489767,-1118.88,0.0
460410,2016,בני חיל שומרון,קדומים,קדומים,exact,5.0,0.028,4338.0,,קדומים,8.37539918579835,מרכז,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,2.0,12.375,59571.54703752415,0.0,57930.85484848479,480.5922222222222,317.3057575757576,854.0960274232087,-11.301818181818183,0.0,0.05714285714285714,4.663439094112067,66.24,75.5,0.0,0.2,25.0,25.0,99.0,6.0,5897583.156714891,0.0,5735154.629999994,47578.63,31413.27,84555.50671489767,-1118.88,0.0
460428,2013,אולפנת שעלבים,שעלבים,שעלבים,exact,3.0,-0.736,1764.0,330.0,שעלבים,7.475905969367397,מרכז,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",1.0,31.42105263157895,19461.663411199093,8569.488438693468,7578.972378559454,1122.5278726968177,142.3813567839196,377.53308142337687,91.6441541038526,0.15607063093243997,0.022913256955810146,6.416732282512326,90.91277777777776,88.20675324675325,0.1111111111111111,0.6753246753246753,81.0,77.0,597.0,14.0,11618613.05648586,5115984.5979,4524646.509999994,670149.1400000001,85001.67000000001,225387.249609756,54711.560000000005,93.17416666666666
