locality_code,locality_name,locality_form,population,index_value,cluster,locality_norm
4017.0,אלוני הבשן,320,368.0,-0.519,3.0,אלוני הבשן
4304.0,נוב,310,858.0,-0.345,4.0,נוב
4019.0,מיצר,330,211.0,-0.242,4.0,מיצר
4007.0,יונתן,320,601.0,-0.127,5.0,יונתן
4701.0,רמת מגשימים,320,637.0,0.114,5.0,רמת מגשימים
4011.0,אבני איתן,310,633.0,0.116,5.0,אבני איתן
4013.0,אורטל,330,321.0,0.157,6.0,אורטל
4024.0,קלע,370,224.0,0.234,6.0,קלע
4003.0,אל -רום,330,338.0,0.419,6.0,אל -רום
4015.0,בני יהודה,370,1040.0,0.438,6.0,בני יהודה
4004.0,כפר חרוב,330,357.0,0.536,7.0,כפר חרוב
4503.0,עין זיוון,330,280.0,0.55,7.0,עין זיוון
4012.0,אניעם,310,503.0,0.589,7.0,אניעם
4026.0,חד-נס,370,827.0,0.696,7.0,חד-נס
4101.0,מרום גולן,330,675.0,0.741,7.0,מרום גולן
4204.0,מבוא חמה,330,344.0,0.755,7.0,מבוא חמה
4002.0,אלי-עד,310,350.0,0.814,7.0,אלי-עד
4021.0,גבעת יואב,310,662.0,0.832,7.0,גבעת יואב
4551.0,נאות גולן,310,534.0,0.833,7.0,נאות גולן
4022.0,גשור,330,264.0,0.908,7.0,גשור
4301.0,אפיק,330,277.0,0.931,7.0,אפיק
4009.0,שעל,310,256.0,1.072,8.0,שעל
4028.0,כנף,310,419.0,1.112,8.0,כנף
4025.0,קדמת צבי,310,359.0,1.208,8.0,קדמת צבי
4702.0,רמות,310,489.0,1.235,8.0,רמות
4303.0,"נווה אטי""ב",310,124.0,1.376,8.0,נווה אטי ב
4008.0,מעלה גמלא,310,441.0,1.545,8.0,מעלה גמלא
3653.0,מעלה עמוס,370,384.0,-1.103,2.0,מעלה עמוס
3794.0,בת עין,370,1226.0,-1.011,2.0,בת עין
3754.0,אספר,370,583.0,-0.902,2.0,אספר
3488.0,כפר עציון,330,1071.0,-0.736,3.0,כפר עציון
3561.0,מגדל עוז,330,439.0,-0.642,3.0,מגדל עוז
3766.0,כרמי צור,370,1036.0,-0.167,5.0,כרמי צור
3563.0,תקוע,190,3495.0,-0.031,5.0,תקוע
3726.0,נוקדים,370,1937.0,0.065,5.0,נוקדים
3602.0,ראש צורים,330,915.0,0.19,6.0,ראש צורים
3604.0,אלון שבות,190,3201.0,0.205,6.0,אלון שבות
3618.0,אלעזר,190,2577.0,0.342,6.0,אלעזר
3725.0,נווה דניאל,190,2275.0,0.515,7.0,נווה דניאל
3781.0,קדר,370,1490.0,0.549,7.0,קדר
3603.0,הר גילה,370,1505.0,0.864,7.0,הר גילה
856.0,שעלבים,330,1764.0,-0.736,3.0,שעלבים
711.0,עזריה,310,1193.0,0.396,6.0,עזריה
759.0,יציץ,310,770.0,0.431,6.0,יציץ
838.0,פדיה,310,806.0,0.519,7.0,פדיה
158.0,נען,330,1532.0,0.59,7.0,נען
370.0,גזר,330,273.0,0.645,7.0,גזר
839.0,פתחיה,310,890.0,0.669,7.0,פתחיה
757.0,מצליח,310,1302.0,0.722,7.0,מצליח
64.0,"יד רמב""ם",310,1044.0,0.723,7.0,יד רמב ם
828.0,ישרש,310,922.0,0.903,7.0,ישרש
301.0,בית עוזיאל,310,599.0,0.952,7.0,בית עוזיאל
1333.0,נוף איילון,190,2129.0,0.99,8.0,נוף איילון
435.0,נצר סרני,330,718.0,1.065,8.0,נצר סרני
862.0,גני יוחנן,310,618.0,1.129,8.0,גני יוחנן
1050.0,בית חשמונאי,190,2171.0,1.444,8.0,בית חשמונאי
670.0,משמר איילון,310,514.0,1.533,8.0,משמר איילון
735.0,רמות מאיר,310,770.0,1.536,8.0,רמות מאיר
743.0,כפר שמואל,310,864.0,1.662,9.0,כפר שמואל
610.0,סתרייה,310,1022.0,1.665,9.0,סתרייה
2010.0,כפר בן נון,310,647.0,1.685,9.0,כפר בן נון
160.0,חולדה,330,913.0,1.752,9.0,חולדה
177.0,"כפר ביל""ו",310,1254.0,1.793,9.0,כפר ביל ו
563.0,משמר דוד,330,700.0,1.874,9.0,משמר דוד
1103.0,גני הדר,350,278.0,1.951,9.0,גני הדר
1264.0,כרמי יוסף,350,1674.0,2.306,9.0,כרמי יוסף
156.0,עיינות,340,340.0,-1.624,1.0,עיינות
597.0,פלמחים,330,604.0,1.245,8.0,פלמחים
159.0,בית חנן,310,573.0,1.443,8.0,בית חנן
311.0,גן שורק,310,677.0,1.476,8.0,גן שורק
853.0,גאליה,310,992.0,1.506,8.0,גאליה
582.0,כפר הנגיד,310,1223.0,1.706,9.0,כפר הנגיד
174.0,נטעים,310,593.0,1.856,9.0,נטעים
202.0,בית עובד,310,309.0,1.914,9.0,בית עובד
1336.0,אירוס,370,211.0,2.269,9.0,אירוס
1076.0,בית ברל,340,,,,בית ברל
718.0,ירחיב,310,956.0,0.555,7.0,ירחיב
841.0,אלישמע,310,1212.0,0.597,7.0,אלישמע
184.0,רמת הכובש,330,1049.0,0.624,7.0,רמת הכובש
686.0,נווה ימין,310,1162.0,0.812,7.0,נווה ימין
