target,n_rows,n_schools,n_features_before,n_features_after,R2_before,R2_after,dR2,RMSE_before,RMSE_after,MAE_before,MAE_after
math_avg_grade,2960,817,18,13,0.13800162233660615,0.4578574758453815,0.3198558535087753,6.495890037523964,5.146878462763685,5.076227805703837,3.95868489536202
english_avg_grade,2929,812,18,22,0.1985348092603016,0.4549396873306065,0.25640487807030493,5.426787981169822,4.472730603895567,4.165753327480577,3.3973051790326942
math_5unit_participation,3182,854,18,20,0.0576068169182282,0.4386041191223293,0.38099730220410105,0.10091615155830946,0.07775065059948229,0.079277984213415,0.054758807450746926
english_5unit_participation,3187,856,18,18,0.22868066900448328,0.5494287667932459,0.3207480977887627,0.23188046924681488,0.1766654984126135,0.1790071839995844,0.12894177207267454
