target,model,n_features,R2,RMSE,MAE
english_5unit_participation,HistGradientBoosting (tuned),13,0.544791005774864,0.17771822814300836,0.1289142686744364
math_avg_grade,HistGradientBoosting (tuned),11,0.4306382196407008,5.2733326691138345,4.0592721229020885
english_avg_grade,HistGradientBoosting (tuned),14,0.4279510584202747,4.584118831249581,3.5018865164456336
math_5unit_participation,HistGradientBoosting (tuned),12,0.42110541229275267,0.07896383262500084,0.055658072076528675
