semel,school_name_budget,budget_year,district,authority_name,authority_code,sector,supervision,legal_status,education_stage,education_type,nurture_quintile_raw,strength_band,students_regular,students_special,classes_regular,avg_class_size,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private,nurture_quintile
441774,שירת משה,תשעה,מרכז,שדות דן,4000000,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,31,0,2.0,15.5,256471.4021039326,0.0,255568.48,0.0,779.4,691.3621039326033,-567.84,0.0,1.0
441808,תיכון אביב,תשעה,מרכז,רעננה,87007,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,682,8,25.0,27.28,14992244.793764398,0.0,14572712.030000001,133794.8,163517.47999999998,132904.96376440144,-10684.48,0.0,1.0
441816,בנות לאה,תשעה,מרכז,יבנה,26609,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,134,0,6.0,22.333333333333332,2012137.23154499,0.0,1996957.8,1092.43,12791.95,2960.211544988887,-1665.16,0.0,1.0
441824,ישיבת צביה לוד,תשעה,מרכז,לוד,70003,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 2 חטיבה עליונה 3,בינוני,178,0,9.0,19.77777777777778,4943170.637160551,2564927.6862,2033291.17,211234.83000000002,-67937.39,178452.90096055027,-2074.16,42.86,3.0
441832,ישיבת צביה פתח תקווה,תשעה,תל אביב,פתח תקוה,79004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,102,0,4.0,25.5,3000662.3456831807,0.0,2967891.04,1447.88,11992.42,20856.925683181125,-1525.92,0.0,1.0
441857,ישיבה לצעירים חיצים,תשעה,מרכז,שומרון,7200000,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,222,0,8.0,27.75,8906341.821139319,0.0,8711909.359999998,1464.18,110973.69,83868.67113931983,-1874.08,0.0,2.0
441865,עטרת הלויים,תשעה,תל אביב,פתח תקוה,79004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,95,0,4.0,23.75,2836643.115435161,0.0,2814481.4899999993,270.66,8413.6,14208.165435160307,-730.8,0.0,3.0
441899,בית רבקה,תשעה,תל אביב,נתניה,74005,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,147,0,8.0,18.375,4907496.202538258,0.0,4798223.400000003,11286.74,66753.75,2256.2125382550316,28976.1,0.0,2.0
441915,דורשי יחודך,תשעה,מרכז,שומרון,7200000,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,לא מחושב,,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
441923,מעיין,תשעה,תל אביב,פתח תקוה,79004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,78,0,7.0,11.142857142857142,1625011.7445628457,0.0,1606561.1,661.98,17593.6,819.6245628454718,-624.56,0.0,3.0
441949,ברנקו וייס רמלה,תשעה,מרכז,רמלה,85001,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,נוער בסיכון,חלש - בינוני,115,0,6.0,19.166666666666668,3927044.8711347114,0.0,3753427.87,1473.97,37674.8,135234.55113471323,-766.32,0.0,
441956,נחלת שמואל,תשעה,תל אביב,נתניה,74005,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,131,0,6.0,21.833333333333332,969467.8869126484,0.0,966338.7899999999,0.0,2551.8,1777.4169126485187,-1200.12,0.0,3.0
441964,אמרי צבי,תשעה,ירושלים,מודיעין עילית,37978,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,222,0,7.0,31.714285714285715,1590517.1903317084,0.0,1585818.9000000001,0.0,3651.72,3526.330331708568,-2479.76,0.0,2.0
441972,"דמוקרטי ע""ש יעקב חזן",תשעה,מרכז,כפר סבא,69005,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה עליונה 1,חזק,195,18,6.0,32.5,5079489.66625589,1682471.3882000002,2709576.84,478245.89,130579.6,4511.768055890908,-3502.7200000000003,36.980000000000004,1.0
441980,אולפנת צביה רבבה,תשעה,מרכז,שומרון,7200000,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,369,41,15.0,24.6,9267979.537245246,3709994.5176,4084811.87,473419.3599999999,67645.68,78893.34964524471,-5362.96,70.42,1.0
442004,אנקורי פתח תקווה,תשעה,תל אביב,פתח תקוה,79004,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,206,0,7.0,29.428571428571427,3312280.0210452597,0.0,3268537.6199999996,1382.66,17079.6,27564.221045260078,-2284.08,0.0,2.0
442012,"חט""ב עמלנית חברת נער",תשעה,מרכז,חבל מודיעין,2500000,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",מיוחד,לא מחושב,,0,102,0.0,,7146280.3675,5641571.6969,10272.72,1066748.6400000004,-15598.770000000002,226758.4406,0.0,90.86000000000001,
442020,"תכון ת""א שלוחת נתניה",תשעה,תל אביב,נתניה,74005,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,111,0,4.0,27.75,2293174.3551800186,0.0,2241893.7400000007,1438.1,17837.7,32764.415180018397,-759.6,0.0,3.0
442038,"תכון ת""א שלוחת ראשלצ",תשעה,מרכז,רחובות,84004,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,61,0,3.0,20.333333333333332,1534294.7440642018,0.0,1518418.46,1708.76,5906.2,9055.564064202177,-794.24,0.0,2.0
442046,"חט""ב הרצוג",תשעה,מרכז,צורן קדימה,13508,יהודי,ממלכתי,רשמי,"חט""ב בלבד",רגיל,חטיבה ביניים 1,חזק,249,0,8.0,31.125,3833853.0761333336,3205101.6426,0.0,499483.22,22326.75,85766.28353333334,-3960.0,51.79,1.0
442061,אליעזר בן יהודה,תשעה,מרכז,נס ציונה,72009,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,1221,20,35.0,34.885714285714286,22783579.792038906,9869463.2604,8393801.599999996,1859309.7300000002,135848.14,163857.21163889868,-17484.04,165.99,1.0
442079,"פלך ע""ש רות קורמן",תשעה,מרכז,קרית עקרון,4697,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,399,0,13.0,30.692307692307693,6958232.290584743,3103084.3710000003,3296087.899999999,449946.38000000006,53962.13999999999,61544.45958474486,-6392.96,55.93,1.0
442087,כנסת יחזקאל,תשעה,מרכז,אלעד,13094,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,268,0,4.0,67.0,1585622.825075866,0.0,1580556.9699999997,0.0,3598.6800000000003,3747.895075866286,-2280.72,0.0,3.0
442095,ישיבת צמח צדיק ויז'נ,תשעה,מרכז,אלעד,13094,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,122,0,3.0,40.666666666666664,856680.0914277462,0.0,854056.2400000001,0.0,1804.56,2266.3314277461827,-1447.04,0.0,1.0
442111,תיכון קהילתי אהל תמר,תשעה,מרכז,אלעד,13094,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,87,0,4.0,21.75,1424907.6004328397,0.0,1361057.5799999998,802.2,22244.100000000002,1830.6804328397923,38973.04,0.0,2.0
442129,אור האמת,תשעה,מרכז,אלעד,13094,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,148,0,4.0,37.0,2296095.7706542704,0.0,2209145.0800000005,811.98,83350.3,2525.1306542698635,263.28,0.0,3.0
442137,בית יעקב מאורות,תשעה,מרכז,ראשון לציון,83006,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 4,חלש - בינוני,108,0,5.0,21.6,2349964.420780424,0.0,2337029.3400000003,1177.22,10935.0,1667.0607804241906,-844.2,0.0,4.0
442145,ישיבת פונוביץ,תשעה,מרכז,באר יעקב,25304,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,74,0,3.0,24.666666666666668,537776.8005869214,0.0,535881.8,0.0,1334.64,1658.5205869212411,-1098.16,0.0,1.0
442152,אמרי מרדכי,תשעה,מרכז,אלעד,13094,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,116,0,3.0,38.666666666666664,809238.5371971623,0.0,807315.4900000001,0.0,1740.48,1272.9671971621892,-1090.4,0.0,2.0
442186,בית מרגלית,תשעה,תל אביב,נתניה,74005,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,159,0,4.0,39.75,2408823.3701012926,0.0,2347695.0999999996,811.98,23355.94,2511.360101293534,34448.99,0.0,3.0
442202,מקדש מנחם,תשעה,מרכז,אלעד,13094,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,127,0,4.0,31.75,2539625.502417615,0.0,2514700.5,150.0,24180.14,1723.8224176153944,-1128.96,0.0,3.0
442236,"דרכא ע""ש אילן ואסף רמון",תשעה,מרכז,גדרה,25502,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,921,19,28.0,32.892857142857146,16062869.226781856,7200736.977399998,5931916.699999999,1054893.33,67352.54999999999,264832.95938185556,-13467.36,112.68,1.0
442244,תיכון רננות,תשעה,תל אביב,פתח תקוה,79004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,186,0,11.0,16.90909090909091,4344305.328816633,0.0,4261687.300000001,802.2,75122.16,2644.5288166332875,4049.1400000000003,0.0,3.0
442251,מיתרים רעננה,תשעה,מרכז,רעננה,87007,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,81,0,5.0,16.2,1148784.9502345913,0.0,1048459.1499999996,1027.21,22038.05,78489.46023459152,-1228.92,0.0,1.0
442269,תיכון בית יעקב החדש,תשעה,מרכז,אלעד,13094,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,147,0,4.0,36.75,2715656.960205633,0.0,2697109.6100000003,802.2,16547.0,2926.5502056334044,-1728.4,0.0,2.0
442277,"תיכון ע""ש נעמי שמר",תשעה,מרכז,גן יבנה,1669,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 2 חטיבה עליונה 2,בינוני - חזק,962,69,33.0,29.151515151515152,20160715.67310544,8596131.5881,9424018.549999999,1172619.6099999999,97884.98999999999,168158.29500544042,-11738.96,138.87,2.0
442293,קריית החינוך למדעים,תשעה,מרכז,רחובות,84004,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 2 חטיבה עליונה 1,בינוני - חזק,919,12,28.0,32.82142857142857,16039006.128822371,9224099.989100002,3119726.1,1602519.1,150206.09000000003,247902.04972236961,-12188.6,151.62,1.0
442301,תיכון במעלה אדר,תשעה,תל אביב,פתח תקוה,79004,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,171,0,6.0,28.5,3351688.0276522962,0.0,3323747.0,1829.42,24968.5,3505.4276522955593,-2362.32,0.0,1.0
442319,ישיבת צביה קטיף,תשעה,מרכז,נחל שורק,3100000,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,355,0,14.0,25.357142857142858,8062103.437144384,3994968.5149,2742831.2900000005,465796.36,37789.4,232683.57224438316,47500.6,75.02916666666665,1.0
