semel,school_name_budget,budget_year,district,authority_name,authority_code,sector,supervision,legal_status,education_stage,education_type,nurture_quintile_raw,strength_band,students_regular,students_special,classes_regular,avg_class_size,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private,nurture_quintile
110023,בית יעקב מטרסדורף,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,1024,33,31.0,33.03225806451613,10848362.864624962,0.0,0.0,908545.6300000001,181251.47999999998,80883.65462496495,-8995.6,0.0,3.0
110056,עדיהו,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,63,0,2.5,12.6,1764049.4738440015,1444953.2821999998,0.0,140416.94,-35297.16,214251.93164400166,-275.52,28.130000000000003,5.0
110064,אליקים,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,51,0,3.0,10.2,2009245.2523790095,1692049.4686,0.0,97842.42,-30155.82,249628.58377900982,-119.4,40.0,5.0
110098,השחר,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,478,0,15.0,31.866666666666667,6197829.806934935,5406327.376,0.0,595250.0700000001,-232097.59,435036.79093493556,-6686.84,128.58,1.0
110106,אגרון גרשון,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,388,9,12.0,32.333333333333336,5717497.36123199,4935192.8484,0.0,727725.7799999999,26083.760000000002,23578.05283199098,-3508.28,117.02,3.0
110130,סאלד,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,256,14,11.0,23.272727272727273,5814450.763357239,5055784.3914,0.0,602504.0,-938.4599999999973,159794.43195723952,-2693.6,110.52000000000001,2.0
110155,בית הכרם,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,506,0,17.0,29.764705882352942,6825879.728125817,5803204.9176,0.0,787964.3500000001,36439.54,205674.36052581712,-7403.44,134.98,1.0
110171,גאולים א,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,282,20,10.0,28.2,7555916.724348645,5655848.6536,0.0,1007578.18,152122.42,545271.3307486459,-2474.8,127.47,3.0
110205,"מ""מ רחביה ע""ש דוד גו",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,372,13,12.0,31.0,6549798.060921349,5080093.247400001,0.0,899410.7999999998,144420.5,309042.53352135,-4632.32,105.84,2.0
110270,לוריא,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,168,20,8.0,21.0,5472321.009563227,4434476.093599999,0.0,718896.21,110440.48999999999,83266.8759632281,-1557.92,105.64000000000001,3.0
110312,ארגנטינה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,303,13,12.0,25.25,5664263.39005598,4805552.149999999,0.0,588166.96,-55593.72,329907.32005598064,-3769.32,108.63000000000001,2.0
110320,גואטמלה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,178,12,8.0,22.25,4924112.397290295,4084383.8290000004,0.0,497262.4300000001,-68305.62,411787.1182902959,-1015.36,95.13000000000001,5.0
110445,"חב""ד עיר גנים",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,177,0,6.0,29.5,4449496.509019876,3589651.4,0.0,314527.21,-105763.77000000002,651197.6890198766,-818.12,85.5,5.0
110452,יהודה הלוי,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,455,12,15.0,30.333333333333332,6809773.544624758,5856214.8564,0.0,797459.9700000001,22487.38,138450.5382247576,-4839.2,131.63,2.0
110486,עוזיאל,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,331,6,12.0,27.583333333333332,5476944.918447854,4763113.985199999,0.0,605106.6,23143.560000000005,88867.8132478549,-3287.04,105.05,2.0
110585,מימון,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,224,0,10.0,22.4,3793813.5184424967,3315762.0593999997,0.0,344174.5,-56033.030000000006,192441.18904249682,-2531.2,70.96000000000001,2.0
110619,א.ד.רוטשילד,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,341,21,12.0,28.416666666666668,6301399.6258625835,5143156.074999999,0.0,696706.7399999999,-102936.68000000001,567824.5308625848,-3351.04,112.47,2.0
110676,אבן העזר,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,160,0,7.0,22.857142857142858,3461477.8458221024,3034264.1058,0.0,199336.69,-88294.65000000001,317444.50002210203,-1272.8,66.00999999999999,3.0
110726,מתתיהו,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,250,30,10.0,25.0,5478666.107877479,4610939.691699999,0.0,553104.9800000001,-116976.79999999999,399196.0761774792,-2983.68,105.7,2.0
110734,הר טוב,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,627,24,19.0,33.0,8577572.018436898,7429695.147799999,0.0,968926.06,-247817.53999999998,434740.55063689745,-7972.2,169.05,2.0
110866,בית יעקב מרכז,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,487,19,17.0,28.647058823529413,5978521.028503834,0.0,0.0,522522.95999999996,102198.99999999999,33703.01850383652,-4568.4,0.0,3.0
110932,"ת""ת לויכטר",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,189,0,7.5,23.625,2264503.2711023022,0.0,0.0,204289.84,19773.800000000003,2369.921102302683,-1547.52,0.0,3.0
110957,בית יעקב בית ישראל,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,783,0,22.0,35.59090909090909,7348185.5370137505,0.0,0.0,564137.38,68751.2,68014.57701375075,-7044.04,0.0,3.0
110973,בית יעקב קארו,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,107,0,4.5,17.833333333333332,1275721.7579337747,0.0,0.0,5296.41,12032.8,13595.917933774726,-633.36,0.0,4.0
110981,בית יעקב הארי,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,199,0,7.5,24.875,2391976.006366147,0.0,0.0,204289.83999999997,21914.6,25407.846366146972,-1535.2,0.0,4.0
111013,"ת""ת וב""י נוה צבי",תשעה,ירושלים,בית שמש,26104,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,183,0,6.5,22.875,2765008.1260416163,0.0,0.0,306467.12,-35607.729999999996,359516.30604161625,-1249.92,0.0,4.0
111021,"ת""ת ירום משה",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,פטור,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,323,0,11.0,29.363636363636363,1012813.5428143593,0.0,0.0,0.0,4981.9,4411.159864448969,-2366.28,0.0,4.0
111062,יפה נוף,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,552,43,18.0,30.666666666666668,9560192.994567215,7808871.370999999,0.0,1323345.3599999999,13901.35,421543.5935672169,-7468.68,191.83,1.0
111096,עין הרים,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,516,16,17.0,30.352941176470587,7262692.837844486,6361913.0784,0.0,798789.9600000001,-233719.79,342651.5894444882,-6942.0,140.27,1.0
111112,זלמן ארן,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,352,17,12.0,29.333333333333332,6799894.242363144,5507538.701200001,0.0,767376.9900000001,-135593.0,664261.1911631435,-3689.64,123.32000000000001,2.0
111120,פסגת זאב צפון,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,277,19,11.0,25.181818181818183,5311725.527574841,4354279.0430000005,0.0,636885.88,-1634.1699999999992,324645.7745748413,-2451.0,111.24000000000001,3.0
111138,בית יעקב גבעת שאול,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,1134,43,33.0,34.36363636363637,12939098.410747519,0.0,0.0,1313553.3,420927.45,72170.18074752008,-10240.16,0.0,3.0
111179,לוי אשכול,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,297,29,12.0,24.75,6660182.5078589,5449506.994,0.0,726676.1399999999,-103663.85,589803.5438589018,-2140.32,127.91000000000001,3.0
111195,חברון בנות,תשעה,ירושלים,קרית ארבע,36111,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,357,29,13.0,27.46153846153846,8005885.637938995,6694392.2888,0.0,698724.7599999999,-186904.35000000003,803012.5391389952,-3339.6,155.93,3.0
111203,גבעת גונן,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,127,21,5.0,21.166666666666668,4032632.67557667,3323345.8586000004,0.0,401714.26999999996,-91550.70999999999,399731.6569766705,-608.4,84.21000000000001,5.0
111252,"ת""ת תורת אמת",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,409,0,15.0,27.266666666666666,2544967.423893688,0.0,0.0,64098.479999999996,2478491.3999999994,5154.58389368813,-2777.04,0.0,3.0
111260,"חב""ד בית חנה",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,523,17,19.0,27.526315789473685,8371612.267162146,7287963.448000001,0.0,875633.47,57799.0,129434.62916214534,-4493.88,169.61,3.0
111278,מעלות דפנה יד המורה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,165,42,7.0,23.571428571428573,11404150.37966839,8345817.4809,0.0,1583600.2499999998,431803.92000000004,499616.7487683916,-2500.56,176.57,2.0
111294,חטיבה לגיל הצעיר,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,57,0,3.0,19.0,1220176.4981022875,1063219.1114,0.0,148109.46000000002,8114.700000000001,1567.7067022876251,-834.48,29.6,1.0
111310,"ת""ת המסורה",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,535,85,19.0,28.157894736842106,7047196.980885411,0.0,0.0,1009969.8600000001,6034505.370000003,7574.7508854086955,-4853.0,0.0,3.0
111328,כרמי יהודה,תשעה,ירושלים,גוש עציון,7600000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,392,54,13.0,30.153846153846153,10264745.668288931,8275803.826,0.0,1307720.0399999998,-79851.49000000002,612621.9722889317,-5168.16,184.99,2.0
111344,הניסויי,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,335,7,12.0,27.916666666666668,5648872.390349789,4749519.251,0.0,718938.1499999999,105865.55000000002,37913.19934978876,-4647.24,115.96,1.0
111351,יאנוש קורצאק,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,300,0,12.0,25.0,4822715.78166858,4081770.2532,0.0,560804.49,-8160.769999999999,192045.80846858062,-3744.0,87.1,1.0
111369,מולדת,תשעה,ירושלים,מבשרת ציון,10157,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,350,8,12.0,29.166666666666668,4953907.415168074,4455795.718,0.0,480016.8899999999,-216507.73,239027.41716807426,-4424.88,97.1,1.0
111393,נועם בנות ק.משה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,637,7,20.0,31.85,8219987.014451847,7167935.597065347,0.0,930779.86,65657.83,62881.1673865017,-7267.44,128.45,2.0
111450,"גוונים מ""מ",תשעה,ירושלים,קרית ארבע,36111,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,65,0,4.0,8.125,3074709.890258831,2875578.945,0.0,88239.44999999998,-42316.829999999994,153507.12525883177,-298.8,57.31,5.0
111500,גילה ממלכתי א,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,199,34,7.0,24.875,4290303.130817836,3524682.84,0.0,519708.22,-70201.65,317890.76081783586,-1777.04,83.0,4.0
111591,"ברנדט ממ""ד נוה יעקב",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,91,18,3.5,15.166666666666666,3578764.113031267,2795005.613,0.0,325461.39999999997,-74284.58000000002,532989.8000312669,-408.12,63.34,5.0
111633,בית יעקב נוה יעקב,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,714,28,22.0,32.45454545454545,10552881.06124399,0.0,0.0,970570.5900000001,224333.96,38784.29124399144,-6491.28,0.0,3.0
111641,"ב""י הצפון",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 3,בינוני,1233,7,37.0,33.32432432432432,12490377.77500019,0.0,0.0,1121614.26,179256.26,82361.25500019114,-11475.36,0.0,3.0
111682,תלי בית וגן,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,365,14,12.0,30.416666666666668,6042901.497868072,4978904.6364,0.0,738107.0400000002,16969.6,306031.2414680723,-4553.28,115.52,2.0
111690,"הרובע היהודי ממ""ד",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,168,18,7.0,24.0,3650924.452311096,3104327.6471999995,0.0,457909.41,23147.230000000003,67513.0451110963,-1972.88,71.91,2.0
111708,נחלת בנימין בנים,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,200,13,7.0,28.571428571428573,3535682.6181283556,3063767.1372,0.0,408509.03,1816.2900000000004,63906.520928355574,-2316.36,70.23,2.0
111716,שדי חמד,תשעה,ירושלים,מעלה אדומים,36160,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,282,20,12.0,23.5,6182425.09573263,5400986.7178,0.0,533965.9700000001,-83402.48999999999,332756.4979326308,-1881.6,120.97999999999999,4.0
111724,בית חורון,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,175,0,7.0,25.0,2643981.3229158414,2373879.9560000002,0.0,219995.48,-2541.3599999999997,55188.24691584109,-2541.0,54.620000000000005,1.0
111831,פרנקל גבעת שפירא,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,186,28,6.0,31.0,6756659.443062435,4824500.263,0.0,1094102.3599999999,326776.01,214284.5100624355,-2238.72,111.5,2.0
111849,בית-אל בנות,תשעה,ירושלים,בית אל,35741,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,603,42,21.0,28.714285714285715,10430142.958642539,9193322.114099009,0.0,1096247.9500000002,53325.79000000001,93357.74454352984,-6110.64,217.37,2.0
111856,"ת""ת אחינועם",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,109,0,4.5,13.625,1335039.340618533,0.0,0.0,179165.23,13035.400000000001,6751.140618533389,-1044.16,0.0,2.0
111864,"ת""ת מורשה",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,326,0,13.0,25.076923076923077,3980874.567141369,3510934.110427723,0.0,435454.95,31516.600000000002,6439.906713646318,-3471.0,0.0,2.0
111872,מנשה אלישר,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,359,6,13.0,27.615384615384617,5338691.3042317275,4560885.7446,0.0,679312.38,20645.059999999998,82459.15963172683,-4611.04,98.04,1.0
111898,נוה עציון בנות,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,239,13,10.0,23.9,4814562.660220968,4106817.1777999997,0.0,506990.5799999999,-54645.44,257575.94242096785,-2175.6,96.3,3.0
111906,גילה ממלכתי ב,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,287,9,11.0,26.09090909090909,4736330.797152719,3994318.0,0.0,529654.36,7364.749999999998,207259.4471527199,-2265.76,80.0,3.0
111948,"ת""ת יקירי ירושלים",תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,109,0,5.0,21.8,1303732.5779632241,0.0,0.0,117671.58,12217.2,1676.487963224373,-1063.84,0.0,2.0
111963,נוה צוף,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,280,0,11.0,25.454545454545453,4150376.0610113926,3722749.9454,0.0,363165.74,10452.23,57480.14561139291,-3472.0,85.64999999999999,2.0
112003,נועם בנים ק.משה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,287,0,12.0,23.916666666666668,4651598.879749142,4178191.6499999994,0.0,401073.41000000003,29011.3,46077.71974914198,-2755.2,80.89,2.0
112037,אלון,תשעה,ירושלים,מטה יהודה,2600000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,459,6,15.0,30.6,6645766.765871009,5699614.7188,0.0,693295.1099999999,-142772.53999999998,334802.05707100994,-6714.6,130.72,1.0
112052,כפר אדומים,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,423,14,14.0,30.214285714285715,7724987.569494391,6553468.407,33200.55,801964.6099999999,60815.57000000001,212732.71249439154,-5438.4,162.0,1.0
112078,זאב זבוטינסקי,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,152,28,6.0,25.333333333333332,4525006.441152885,3581528.1820000005,0.0,474561.74,-67642.75,537967.269152886,-1408.0,82.11,3.0
112094,יהושע גן,תשעה,ירושלים,בית אריה,36525,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,436,19,13.0,33.53846153846154,5989423.994916417,5280281.5388,0.0,662211.9399999998,14975.060000000001,37058.41611641642,-5102.96,118.74000000000001,2.0
112102,"חב""ד לבנים ביתר עלית",תשעה,ירושלים,ביתר עילית,37804,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,258,21,11.0,23.454545454545453,6041924.204799787,4699668.9799999995,0.0,576756.34,-6123.7099999999955,773410.3547997876,-1787.76,96.35,4.0
112110,פסגות,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,332,12,12.0,27.666666666666668,5901790.587363943,4994412.331800001,0.0,713774.49,52040.43,84875.27556394276,-4113.8,109.83000000000001,2.0
112128,אהל שילה בנות,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,494,0,19.0,26.0,7463059.437516541,6750108.7378,0.0,628458.79,27415.989999999998,61926.43971654158,-4850.52,162.41000000000003,2.0
112136,תלפיות מזרח ממלכתי ב,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,305,10,10.0,30.5,5180673.065931382,4078172.6495999997,0.0,643761.3200000001,-104026.53,565545.4663313824,-2779.84,95.15,3.0
112151,מצפה יריחו,תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,393,9,14.0,28.071428571428573,6085905.535700675,5373962.1968,0.0,533128.4199999999,21593.739999999998,161127.6589006755,-3906.48,117.28999999999999,2.0
112169,נות ישראל,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,225,0,8.0,28.125,1574577.562599929,0.0,0.0,0.0,1559096.3699999996,16991.512599929472,-1510.32,0.0,4.0
112177,תומר רחל,תשעה,ירושלים,מעלה אדומים,36160,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,310,18,12.0,25.833333333333332,6312543.782693969,5572576.359999999,0.0,571535.47,-99794.26999999999,270625.9826939692,-2399.76,128.85,3.0
112185,אריאל,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,154,17,5.5,25.666666666666668,3425377.613346131,2962595.576216832,0.0,441602.02,5562.36,16932.377129300043,-1314.72,65.14,4.0
112193,"ניל""י",תשעה,ירושלים,מטה בנימין,7300000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 1,חזק,260,7,11.0,23.636363636363637,4503637.6400548145,4059474.5344000002,0.0,385874.99,7130.689999999999,54837.34565481489,-3679.92,91.95,1.0
112201,רמות ממלכתי ג,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,114,0,4.0,19.0,2065863.1280284235,1844877.1004,0.0,184042.01,10598.4,18498.157628423418,-999.0,38.0,2.0
112219,"רמות ממ""ד ב'",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,246,59,10.0,24.6,6316557.277052441,5150037.7682,0.0,898008.97,14042.259999999998,257615.15885244068,-3146.88,112.97,2.0
112227,אפרתה,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,665,41,20.0,33.25,13915488.892212503,10855103.2149,0.0,1927892.0799999998,351866.32,531273.5173125037,-7895.68,257.99,2.0
112235,"ב""י מעלה עמוס",תשעה,ירושלים,גוש עציון,7600000,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 4,חלש - בינוני,135,0,5.5,16.875,2109772.7722016037,0.0,0.0,256334.39,16047.8,15269.032201603575,-899.16,0.0,4.0
112243,אקדמיה ע ש רובין,תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,מוכר,יסודי בלבד,רגיל,יסודי 1,חזק,143,0,4.0,35.75,975503.5207046062,0.0,0.0,0.0,974710.42,2848.30070460602,-2055.2,0.0,1.0
112250,עשה חייל,תשעה,ירושלים,אפרת,36509,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,691,82,21.0,32.904761904761905,13320390.779800147,11249281.52,0.0,1621051.6200000003,139413.12,195119.19980014663,-8325.12,275.7,2.0
112276,ממלכתי א',תשעה,ירושלים,גבעת זאב,37309,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,159,0,6.0,26.5,2416571.747576964,2190865.5632,0.0,203183.29,-3576.9600000000005,27925.174376964613,-1825.32,46.269999999999996,2.0
112284,"גילה ממ""ד ב'",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 3,בינוני,253,22,10.0,25.3,5747677.155759914,4734832.782200001,0.0,611439.63,-87182.65000000001,490767.23355991417,-2179.84,100.75999999999999,3.0
112292,בית מלכה י-ם,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 5,חלש,820,0,24.0,34.166666666666664,4350463.444476004,0.0,0.0,0.0,4349730.36,4924.0844760031805,-4191.0,0.0,5.0
112300,בית יעקב רמות פולין,תשעה,ירושלים,ירושלים,30007,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,1029,9,32.0,32.15625,10450988.648038827,0.0,0.0,868234.46,114586.33999999998,61782.1580388279,-9546.36,0.0,2.0
112326,"ב""י אוהל חסיה טלזסטו",תשעה,ירושלים,קרית יערים,11379,יהודי,חרדי,מוכר,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,426,7,15.0,28.4,5187805.746397024,0.0,0.0,525621.6299999998,46181.34,222308.50639702516,-4418.4,0.0,2.0
112334,לוין,תשעה,ירושלים,בית שמש,26104,יהודי,ממלכתי דתי,רשמי,יסודי בלבד,רגיל,יסודי 5,חלש,207,17,9.0,23.0,5814321.242050604,4730603.991599999,0.0,459735.37,-87228.36,712245.1204506045,-1034.88,111.52,5.0
112342,קהילתי השלום,תשעה,ירושלים,מבשרת ציון,10157,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,570,24,18.0,31.666666666666668,8623785.276734967,7353736.112,0.0,963712.63,-196361.25,445935.34473496734,-7549.92,173.81,2.0
112359,"גילה ממלכתי תל""י",תשעה,ירושלים,ירושלים,30007,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,451,0,15.0,30.066666666666666,6587485.339010684,5531664.9126,0.0,724669.52,-1527.2500000000018,337134.0364106833,-4455.88,127.59,2.0
112367,מגילות,תשעה,ירושלים,מגילות ים המלח,7400000,יהודי,ממלכתי,רשמי,יסודי בלבד,רגיל,יסודי 2,בינוני - חזק,167,0,5.5,27.833333333333332,2793453.7696766458,2590003.1037999997,0.0,190841.03000000003,-3869.91,18037.14587664582,-1557.6,62.78,2.0
